Codice Nazionale;Sigla Provincia;Denominazione Italiana;Denominazione Estera;Codice Catastale;Ufficio Catasto Terreni;Ufficio Catasto Fabbricati;Codice Conservatoria;Codice Istat;Data Costituzione;Attesa VCT Territorio;Attesa VCT Fabbricati
F960;RE;NOVELLARA;;H8BE;RE;RE;RE00;035028;;;
F961;CN;NOVELLO;;A4GM;CN;CN;CN10;004152;;;
F962;PD;NOVENTA PADOVANA;;D3CI;PD;PD;PD00;028058;;;
F963;VE;NOVENTA DI PIAVE;;D1BJ;VE;VE;VE00;027027;;;
F964;VI;NOVENTA VICENTINA;;D7DG;VI;VI;VI00;024074;;;
F965;AL;NOVI LIGURE;;A2GI;AL;AL;AL30;006114;;;
F966;MO;NOVI DI MODENA;;H4BD;MO;MO;MO00;036028;;;
F967;SA;NOVI VELIA;;Q5DL;SA;SA;SA00;065080;;;
F968;MI;NOVIGLIO;;C1MB;MI;MI;PV00;015158;;;
F970;LE;NOVOLI;;R4CE;LE;LE;LE00;075055;;;
F972;CN;NUCETTO;;A4GN;CN;CN;CN20;004153;;;
F974;OR;NUGHEDU SANTA VITTORIA;;V4BJ;OR;OR;OR00;095034;;;
F975;SS;NUGHEDU SAN NICOLO';;V3BX;SS;SS;SS00;090044;;;
F976;SS;NULE;;V3BY;SS;SS;SS00;090045;;;
F977;SS;NULVI;;V3BZ;SS;SS;SS00;090046;;;
F978;AN;NUMANA;;K1BJ;AN;AN;AN00;042032;;;
F979;NU;NUORO;;V2AA;NU;NU;NU00;091051;;;
F980;OR;NURACHI;;V4BK;OR;OR;OR00;095035;;;
F981;SU;NURAGUS;;V2CE;NU;NU;NU00;111045;;;
F982;SU;NURALLAO;;V2CF;NU;NU;NU00;111046;;;
F983;SU;NURAMINIS;;V1DT;CA;CA;CA00;111047;;;
F985;OR;NURECI;;V4BL;OR;OR;OR00;095036;;;
F986;SU;NURRI;;V2CG;NU;NU;NU00;111048;;;
F987;AO;NUS;;B1CD;AO;AO;AO00;007045;;;
F988;AV;NUSCO;;Q2CU;AV;AV;AV00;064066;;;
F989;BS;NUVOLENTO;;C3HK;BS;BS;BS00;017119;;;
F990;BS;NUVOLERA;;C3HL;BS;BS;BS00;017120;;;
F991;SU;NUXIS;;V1DW;CA;CA;CA00;111049;;;
F992;BI;OCCHIEPPO INFERIORE;;A6EH;BI;BI;BI00;096040;;;
F993;BI;OCCHIEPPO SUPERIORE;;A6EI;BI;BI;BI00;096041;;;
F994;RO;OCCHIOBELLO;;D4BT;RO;RO;RO00;029033;;;
F995;AL;OCCIMIANO;;A2GJ;AL;AL;AL20;006115;;;
F996;AQ;OCRE;;N1CM;AQ;AQ;AQ00;066059;;;
F997;AL;ODALENGO GRANDE;;A2GK;AL;AL;AL20;006116;;;
F998;AL;ODALENGO PICCOLO;;A2GL;AL;AL;AL20;006117;;;
F999;TV;ODERZO;;D5CF;TV;TV;TV00;026051;;;
G001;BS;ODOLO;;C3HM;BS;BS;BS20;017121;;;
G002;AQ;OFENA;;N1CN;AQ;AQ;AQ00;066060;;;
G003;AN;OFFAGNA;;K1BK;AN;AN;AN00;042033;;;
G004;CR;OFFANENGO;;C5FN;CR;CR;LO00;019062;;;
G005;AP;OFFIDA;;K2CN;AP;AP;AP00;044054;;;
G006;BS;OFFLAGA;;C3HN;BS;BS;BS00;017122;;;
G007;VB;OGGEBBIO;;A5HQ;VB;VB;VB00;103049;;;
G008;VA;OGGIONA CON SANTO STEFANO;;C9GK;VA;VA;MI20;012107;;;
G009;LC;OGGIONO;;C4LT;LC;LC;LC00;097057;;;
G010;TO;OGLIANICO;;A1IL;TO;TO;TO20;001170;;;
G011;SA;OGLIASTRO CILENTO;;Q5DM;SA;SA;SA00;065081;;;
G012;AO;OYACE;;B1CE;AO;AO;AO00;007047;;;
G015;SS;OLBIA;;V3CA;SS;SS;SS10;090047;;;
G016;VC;OLCENENGO;;A6EJ;VC;VC;VC00;002088;;;
G018;VC;OLDENICO;;A6EK;VC;VC;VC00;002089;;;
G019;NO;OLEGGIO;;A5HR;NO;NO;NO00;003108;;;
G020;NO;OLEGGIO CASTELLO;;A5HS;NO;NO;VB00;003109;;;
G021;PV;OLEVANO DI LOMELLINA;;C7GG;PV;PV;PV10;018104;;;
G022;RM;OLEVANO ROMANO;;M1DQ;RM;RM;RM20;058073;;;
G023;SA;OLEVANO SUL TUSCIANO;;Q5DN;SA;SA;SA00;065082;;;
G025;CO;OLGIATE COMASCO;;C4LW;CO;CO;CO00;013165;;;
G026;LC;OLGIATE MOLGORA;;C4LX;LC;LC;LC00;097058;;;
G028;VA;OLGIATE OLONA;;C9GL;VA;VA;MI20;012108;;;
G030;LC;OLGINATE;;C4LZ;LC;LC;LC00;097059;;;
G031;NU;OLIENA;;V2CH;NU;NU;NU00;091055;;;
G032;PV;OLIVA GESSI;;C7GH;PV;PV;PV20;018105;;;
G034;CZ;OLIVADI;;T2DQ;CZ;CZ;CZ00;079088;;;
G036;ME;OLIVERI;;U6CT;ME;ME;ME00;083063;;;
G037;MT;OLIVETO LUCANO;;S2AU;MT;MT;MT00;077019;;;
G039;SA;OLIVETO CITRA;;Q5DP;SA;SA;SA00;065083;;;
G040;LC;OLIVETO LARIO;;C4MA;LC;LC;LC00;097060;;;
G041;IM;OLIVETTA SAN MICHELE;;G2CM;IM;IM;IM10;008038;;;
G042;AL;OLIVOLA;;A2GM;AL;AL;AL20;006118;;;
G043;OR;OLLASTRA;;V4BM;OR;OR;OR00;095037;;;
G044;NU;OLLOLAI;;V2CI;NU;NU;NU00;091056;;;
G045;AO;OLLOMONT;;B1CF;AO;AO;AO00;007046;;;
G046;SS;OLMEDO;;V3CB;SS;SS;SS00;090048;;;
G047;CR;OLMENETA;;C5FP;CR;CR;CR00;019063;;;
G048;AT;OLMO GENTILE;;A3DH;AT;AT;AL10;005081;;;
G049;BG;OLMO AL BREMBO;;C2HX;BG;BG;BG00;016145;;;
G050;BG;OLTRE IL COLLE;;C2HY;BG;BG;BG00;016146;;;
G054;BG;OLTRESSENDA ALTA;;C2IA;BG;BG;BG00;016147;;;
G056;CO;OLTRONA DI SAN MAMETTE;;C4MB;CO;CO;CO00;013169;;;
G058;NU;OLZAI;;V2CJ;NU;NU;NU00;091057;;;
G061;BS;OME;;C3HP;BS;BS;BS00;017123;;;
G062;VB;OMEGNA;;A5HU;VB;VB;VB00;103050;;;
G063;SA;OMIGNANO;;Q5DQ;SA;SA;SA00;065084;;;
G064;NU;ONANI';;V2CK;NU;NU;NU00;091058;;;
G065;VT;ONANO;;M5BU;VT;VT;VT00;056040;;;
G066;CN;ONCINO;;A4GP;CN;CN;CN30;004154;;;
G068;BG;ONETA;;C2IC;BG;BG;BG00;016148;;;
G070;NU;ONIFAI;;V2CL;NU;NU;NU00;091059;;;
G071;NU;ONIFERI;;V2CM;NU;NU;NU00;091060;;;
G074;BS;ONO SAN PIETRO;;C3HR;BS;BS;BS10;017124;;;
G075;BG;ONORE;;C2ID;BG;BG;BG00;016149;;;
G076;SV;ONZO;;G4CH;SV;SV;SV10;009043;;;
G078;MI;OPERA;;C1MD;MI;MI;MI20;015159;;;
G079;AQ;OPI;;N1CP;AQ;AQ;AQ00;066061;;;
G080;VR;OPPEANO;;D6CT;VR;VR;VR00;023055;;;
G081;PZ;OPPIDO LUCANO;;S1CJ;PZ;PZ;PZ00;076056;;;
G082;RC;OPPIDO MAMERTINA;;T1CM;RC;RC;RC00;080055;;;
G083;BZ;ORA;AUER;E2EW;;;;021060;;;
G084;NU;ORANI;;V2CN;NU;NU;NU00;091061;;;
G086;CB;ORATINO;;P1CJ;CB;CB;CB00;070049;;;
G087;TO;ORBASSANO;;A1IN;TO;TO;TO20;001171;;;
G088;GR;ORBETELLO;;I3AT;GR;GR;GR00;053018;;;
G090;PI;ORCIANO PISANO;;I7BD;PI;PI;LI00;050023;;;
G093;GE;ORERO;;G1CV;GE;GE;GE10;010042;;;
G095;VI;ORGIANO;;D7DH;VI;VI;VI00;024075;;;
G096;LO;PIEVE FISSIRAGA;;C1MF;LO;LO;LO00;098045;;;
G097;NU;ORGOSOLO;;V2CP;NU;NU;NU00;091062;;;
G098;BR;ORIA;;R2AK;BR;BR;BR00;074011;;;
G102;AQ;ORICOLA;;N1CQ;AQ;AQ;AQ00;066062;;;
G103;VA;ORIGGIO;;C9GP;VA;VA;MI20;012109;;;
G105;VA;ORINO;;C9GQ;VA;VA;VA00;012110;;;
G107;LO;ORIO LITTA;;C1MH;LO;LO;LO00;098042;;;
G108;BG;ORIO AL SERIO;;C2IF;BG;BG;BG00;016150;;;
G109;TO;ORIO CANAVESE;;A1IP;TO;TO;TO40;001172;;;
G110;CS;ORIOLO;;T3DT;CS;CS;CS00;078087;;;
G111;VT;ORIOLO ROMANO;;M5BV;VT;VT;RM20;056041;;;
G113;OR;ORISTANO;;V4AA;OR;OR;OR00;095038;;;
G114;CN;ORMEA;;A4GQ;CN;CN;CN20;004155;;;
G115;TV;ORMELLE;;D5CG;TV;TV;TV00;026052;;;
G116;MB;ORNAGO;;C1MI;MI;MI;MI20;108036;;;
G117;VB;ORNAVASSO;;A5HW;VB;VB;VB00;103051;;;
G118;BG;ORNICA;;C2IG;BG;BG;BG00;016151;;;
G119;NU;OROSEI;;V2CQ;NU;NU;NU00;091063;;;
G120;NU;OROTELLI;;V2CR;NU;NU;NU00;091064;;;
G121;SA;ORRIA;;Q5DR;SA;SA;SA00;065085;;;
G122;SU;ORROLI;;V2CS;NU;NU;NU00;111050;;;
G123;TV;ORSAGO;;D5CH;TV;TV;TV00;026053;;;
G124;AL;ORSARA BORMIDA;;A2GP;AL;AL;AL10;006119;;;
G125;FG;ORSARA DI PUGLIA;;R3BK;FG;FG;FG00;071035;;;
G126;CO;ORSENIGO;;C4ME;CO;CO;CO00;013170;;;
G128;CH;ORSOGNA;;N2CK;CH;CH;CH00;069057;;;
G129;CS;ORSOMARSO;;T3DU;CS;CS;CS00;078088;;;
G130;CE;ORTA DI ATELLA;;Q4CQ;CE;CE;CE00;061053;;;
G131;FG;ORTA NOVA;;R3BL;FG;FG;FG00;071036;;;
G133;SU;ORTACESUS;;V1DZ;CA;CA;CA00;111051;;;
G134;NO;ORTA SAN GIULIO;;A5HY;NO;NO;NO00;003112;;;
G135;VT;ORTE;;M5BW;VT;VT;VT00;056042;;;
G136;LE;ORTELLE;;R4CF;LE;LE;LE00;075056;;;
G137;FM;ORTEZZANO;;K2CP;AP;AP;AP10;109029;;;
G139;AR;ORTIGNANO RAGGIOLO;;I2BD;AR;AR;AR00;051027;;;
G140;BZ;ORTISEI;SANKT ULRICH;E2EY;;;;021061;;;
G141;CH;ORTONA;;N2CL;CH;CH;CH00;069058;;;
G142;AQ;ORTONA DEI MARSI;;N1CR;AQ;AQ;AQ00;066063;;;
G143;SP;LUNI;;G3AV;SP;SP;SP10;011020;;;
G144;SV;ORTOVERO;;G4CI;SV;SV;SV10;009045;;;
G145;AQ;ORTUCCHIO;;N1CS;AQ;AQ;AQ00;066064;;;
G146;NU;ORTUERI;;V2CT;NU;NU;NU00;091066;;;
G147;NU;ORUNE;;V2CU;NU;NU;NU00;091067;;;
G148;TR;ORVIETO;;L2BA;TR;TR;TR00;055023;;;
G149;BS;ORZINUOVI;;C3HT;BS;BS;BS00;017125;;;
G150;BS;ORZIVECCHI;;C3HU;BS;BS;BS00;017126;;;
G151;TO;OSASCO;;A1IQ;TO;TO;TO50;001173;;;
G152;TO;OSASIO;;A1IR;TO;TO;TO50;001174;;;
G153;SS;OSCHIRI;;V3CC;SS;SS;SS00;090049;;;
G154;NU;OSIDDA;;V2CV;NU;NU;NU00;091068;;;
G155;SV;OSIGLIA;;G4CJ;SV;SV;SV00;009046;;;
G156;SS;OSILO;;V3CD;SS;SS;SS00;090050;;;
G157;AN;OSIMO;;K1BL;AN;AN;AN00;042034;;;
G158;NU;OSINI;;V2CW;NU;NU;NU00;091069;;;
G159;BG;OSIO SOPRA;;C2IH;BG;BG;BG00;016152;;;
G160;BG;OSIO SOTTO;;C2II;BG;BG;BG00;016153;;;
G161;LC;OSNAGO;;C4MF;LC;LC;LC00;097061;;;
G163;UD;OSOPPO;;F6DM;UD;UD;UD00;030066;;;
G164;IM;OSPEDALETTI;;G2CP;IM;IM;IM10;008039;;;
G165;AV;OSPEDALETTO D'ALPINOLO;;Q2CX;AV;AV;AV00;064067;;;
G166;LO;OSPEDALETTO LODIGIANO;;C1MJ;LO;LO;LO00;098043;;;
G167;PD;OSPEDALETTO EUGANEO;;D3CJ;PD;PD;PD10;028059;;;
G168;TN;OSPEDALETTO;;E1JR;;;;022130;;;
G169;BL;OSPITALE DI CADORE;;D2BL;BL;BL;BL00;025035;;;
G170;BS;OSPITALETTO;;C3HV;BS;BS;BS00;017127;;;
G171;LO;OSSAGO LODIGIANO;;C1MK;LO;LO;LO00;098044;;;
G173;TN;OSSANA;;E1JS;;;;022131;;;
G178;SS;OSSI;;V3CE;SS;SS;SS00;090051;;;
G179;BS;OSSIMO;;C3HW;BS;BS;BS10;017128;;;
G181;MI;OSSONA;;C1ML;MI;MI;PV00;015164;;;
G183;CN;OSTANA;;A4GR;CN;CN;CN30;004156;;;
G184;FE;OSTELLATO;;H2AT;FE;FE;FE00;038017;;;
G185;CR;OSTIANO;;C5FT;CR;CR;CR00;019064;;;
G186;MN;OSTIGLIA;;C6BP;MN;MN;MN00;020038;;;
G187;BR;OSTUNI;;R2AL;BR;BR;BR00;074012;;;
G188;LE;OTRANTO;;R4CG;LE;LE;LE00;075057;;;
G189;TR;OTRICOLI;;L2BB;TR;TR;TR00;055024;;;
G190;NA;OTTAVIANO;;Q1CF;NA;NA;NA20;063051;;;
G191;NU;OTTANA;;V2CX;NU;NU;NU00;091070;;;
G192;SA;OTTATI;;Q5DS;SA;SA;SA00;065086;;;
G193;AL;OTTIGLIO;;A2GQ;AL;AL;AL20;006120;;;
G194;PV;OTTOBIANO;;C7GJ;PV;PV;PV10;018106;;;
G195;PC;OTTONE;;H6BI;PC;PC;PC00;033030;;;
G196;TO;OULX;;A1IS;TO;TO;TO60;001175;;;
G197;AL;OVADA;;A2GR;AL;AL;AL30;006121;;;
G198;UD;OVARO;;F6DN;UD;UD;UD00;030067;;;
G199;AL;OVIGLIO;;A2GS;AL;AL;AL00;006122;;;
G200;AQ;OVINDOLI;;N1CT;AQ;AQ;AQ00;066065;;;
G201;NU;OVODDA;;V2CY;NU;NU;NU00;091071;;;
G202;TO;OZEGNA;;A1IT;TO;TO;TO40;001176;;;
G203;SS;OZIERI;;V3CF;SS;SS;SS00;090052;;;
G204;AL;OZZANO MONFERRATO;;A2GT;AL;AL;AL20;006123;;;
G205;BO;OZZANO DELL'EMILIA;;H1BZ;BO;BO;BO00;037046;;;
G206;MI;OZZERO;;C1MM;MI;MI;PV00;015165;;;
G207;SU;PABILLONIS;;V1EA;CA;CA;CA00;111052;;;
G208;TP;PACECO;;U9AN;TP;TP;TP00;081013;;;
G209;ME;PACE DEL MELA;;U6CU;ME;ME;ME00;083064;;;
G210;AQ;PACENTRO;;N1CU;AQ;AQ;AQ00;066066;;;
G211;SR;PACHINO;;U8AQ;SR;SR;SR00;089014;;;
G212;PG;PACIANO;;L1CH;PG;PG;PG00;054036;;;
G213;BS;PADENGHE SUL GARDA;;C3HX;BS;BS;BS00;017129;;;
G215;AL;PADERNA;;A2GU;AL;AL;AL40;006124;;;
G217;BS;PADERNO FRANCIACORTA;;C3HZ;BS;BS;BS00;017130;;;
G218;LC;PADERNO D'ADDA;;C4MH;LC;LC;LC00;097062;;;
G220;MI;PADERNO DUGNANO;;C1MN;MI;MI;MI20;015166;;;
G221;TV;PADERNO DEL GRAPPA;;D5CI;TV;TV;TV00;026054;;;
G222;CR;PADERNO PONCHIELLI;;C5FV;CR;CR;CR00;019065;;;
G223;LC;ROBBIATE;;C4MI;LC;LC;LC00;097071;;;
G224;PD;PADOVA;;D3AA;PD;PD;PD00;028060;;;
G225;SS;PADRIA;;V3CG;SS;SS;SS00;090053;;;
G226;SA;PADULA;;Q5DT;SA;SA;SA00;065087;;;
G227;BN;PADULI;;Q3BZ;BN;BN;BN00;062045;;;
G228;CN;PAESANA;;A4GS;CN;CN;CN30;004157;;;
G229;TV;PAESE;;D5CJ;TV;TV;TV00;026055;;;
G230;SA;PAGANI;;Q5DU;SA;SA;SA00;065088;;;
G232;RI;PAGANICO SABINO;;M4CA;RI;RI;RI00;057048;;;
G233;BG;PAGAZZANO;;C2IK;BG;BG;BG00;016154;;;
G234;ME;PAGLIARA;;U6CV;ME;ME;ME00;083065;;;
G237;CH;PAGLIETA;;N2CM;CH;CH;CH00;069059;;;
G238;UD;PAGNACCO;;F6DP;UD;UD;UD00;030068;;;
G240;CN;PAGNO;;A4GU;CN;CN;CN30;004158;;;
G241;LC;PAGNONA;;C4MK;LC;LC;LC00;097063;;;
G242;AV;PAGO DEL VALLO DI LAURO;;Q2CY;AV;AV;AV00;064068;;;
G243;BN;PAGO VEIANO;;Q3CA;BN;BN;BN00;062046;;;
G247;BS;PAISCO LOVENO;;C3IB;BS;BS;BS10;017131;;;
G248;BS;PAITONE;;C3IC;BS;BS;BS20;017132;;;
G249;BG;PALADINA;;C2IL;BG;BG;BG00;016155;;;
G250;MO;PALAGANO;;H4BE;MO;MO;MO00;036029;;;
G251;TA;PALAGIANELLO;;R5AV;TA;TA;TA00;073020;;;
G252;TA;PALAGIANO;;R5AW;TA;TA;TA00;073021;;;
G253;CT;PALAGONIA;;U4BJ;CT;CT;CT00;087032;;;
G254;PI;PALAIA;;I7BE;PI;PI;LI00;050024;;;
G255;PR;PALANZANO;;H5BG;PR;PR;PR00;034026;;;
G257;CB;PALATA;;P1CK;CB;CB;CB00;070050;;;
G258;SS;PALAU;;V3CH;SS;SS;SS10;090054;;;
G259;BG;PALAZZAGO;;C2IM;BG;BG;BG00;016156;;;
G260;CR;PALAZZO PIGNANO;;C5FW;CR;CR;LO00;019066;;;
G261;PZ;PALAZZO SAN GERVASIO;;S1CK;PZ;PZ;PZ00;076057;;;
G262;TO;PALAZZO CANAVESE;;A1IU;TO;TO;TO40;001177;;;
G263;PA;PALAZZO ADRIANO;;U1CC;PA;PA;PA00;082052;;;
G264;BS;PALAZZOLO SULL'OGLIO;;C3ID;BS;BS;BS00;017133;;;
G266;VC;PALAZZOLO VERCELLESE;;A6EL;VC;VC;VC00;002090;;;
G267;SR;PALAZZOLO ACREIDE;;U8AR;SR;SR;SR00;089015;;;
G268;UD;PALAZZOLO DELLO STELLA;;F6DQ;UD;UD;UD00;030069;;;
G270;FI;PALAZZUOLO SUL SENIO;;I1BK;FI;FI;FI00;048031;;;
G271;CH;PALENA;;N2CN;CH;CH;CH00;069060;;;
G272;CZ;PALERMITI;;T2DR;CZ;CZ;CZ00;079089;;;
G273;PA;PALERMO;;U1AA;PA;PA;PA00;082053;;;
G274;RM;PALESTRINA;;M1DS;RM;RM;RM20;058074;;;
G275;PV;PALESTRO;;C7GL;PV;PV;PV10;018107;;;
G276;FR;PALIANO;;M2BV;FR;FR;FR00;060046;;;
G277;RC;PALIZZI;;T1CP;RC;RC;RC00;080056;;;
G278;KR;PALLAGORIO;;T2DS;KR;KR;KR00;101016;;;
G280;VB;PALLANZENO;;A5IB;VB;VB;VB00;103052;;;
G281;SV;PALLARE;;G4CK;SV;SV;SV00;009047;;;
G282;AG;PALMA DI MONTECHIARO;;U2BC;AG;AG;AG00;084027;;;
G283;NA;PALMA CAMPANIA;;Q1CG;NA;NA;CE00;063052;;;
G284;UD;PALMANOVA;;F6DR;UD;UD;UD00;030070;;;
G285;LE;PALMARIGGI;;R4CH;LE;LE;LE00;075058;;;
G286;OR;PALMAS ARBOREA;;V4BN;OR;OR;OR00;095039;;;
G287;SU;SAN GIOVANNI SUERGIU;;V1EC;CA;CA;CA00;111063;;;
G288;RC;PALMI;;T1CQ;RC;RC;RC00;080057;;;
G289;AP;PALMIANO;;K2CS;AP;AP;AP00;044056;;;
G290;CH;PALMOLI;;N2CP;CH;CH;CH00;069061;;;
G291;BA;PALO DEL COLLE;;R1BM;BA;BA;BA00;072033;;;
G292;SA;PALOMONTE;;Q5DV;SA;SA;SA00;065089;;;
G293;RM;PALOMBARA SABINA;;M1DT;RM;RM;RM20;058075;;;
G294;CH;PALOMBARO;;N2CQ;CH;CH;CH00;069062;;;
G295;BG;PALOSCO;;C2IN;BG;BG;BG00;016157;;;
G296;TN;PALU' DEL FERSINA;;E1JU;;;;022133;;;
G297;VR;PALU';;D6CU;VR;VR;VR00;023056;;;
G298;CS;PALUDI;;T3DV;CS;CS;CS00;078089;;;
G299;BZ;PLAUS;PLAUS;E2EZ;;;;021064;;;
G300;UD;PALUZZA;;F6DS;UD;UD;UD00;030071;;;
G302;CN;PAMPARATO;;A4GV;CN;CN;CN20;004159;;;
G303;TO;PANCALIERI;;A1IW;TO;TO;TO50;001178;;;
G304;PV;PANCARANA;;C7GM;PV;PV;PV20;018108;;;
G305;TN;PANCHIA';;E1JV;;;;022134;;;
G306;CR;PANDINO;;C5FY;CR;CR;LO00;019067;;;
G307;CS;PANETTIERI;;T3DW;CS;CS;CS00;078090;;;
G308;PG;PANICALE;;L1CI;PG;PG;PG00;054037;;;
G309;NA;VILLARICCA;;Q1CH;NA;NA;NA20;063087;;;
G311;BN;PANNARANO;;Q3CB;BN;BN;BN00;062047;;;
G312;FG;PANNI;;R3BM;FG;FG;FG00;071037;;;
G315;TP;PANTELLERIA;;U9AP;TP;TP;TP00;081014;;;
G316;MI;PANTIGLIATE;;C1MR;MI;MI;MI20;015167;;;
G317;CS;PAOLA;;T3DX;CS;CS;CS00;078091;;;
G318;BN;PAOLISI;;Q3CC;BN;BN;BN00;062048;;;
G319;TP;VALDERICE;;U9AQ;TP;TP;TP00;081022;;;
G320;CS;PAPASIDERO;;T3DY;CS;CS;CS00;078092;;;
G323;RO;PAPOZZE;;D4BU;RO;RO;RO00;029034;;;
G324;MI;PARABIAGO;;C1MS;MI;MI;MI20;015168;;;
G325;LE;PARABITA;;R4CI;LE;LE;LE00;075059;;;
G327;BS;PARATICO;;C3IE;BS;BS;BS00;017134;;;
G328;BZ;PARCINES;PARTSCHINS;E2FA;;;;021062;;;
G330;TO;PARELLA;;A1IX;TO;TO;TO40;001179;;;
G331;CS;PARENTI;;T3DZ;CS;CS;CS00;078093;;;
G333;CE;PARETE;;Q4CT;CE;CE;CE00;061054;;;
G334;AL;PARETO;;A2GV;AL;AL;AL10;006125;;;
G335;VV;PARGHELIA;;T2DT;VV;VV;VV00;102026;;;
G336;LC;PARLASCO;;C4MN;LC;LC;LC00;097064;;;
G337;PR;PARMA;;H5AA;PR;PR;PR00;034027;;;
G338;AL;PARODI LIGURE;;A2GW;AL;AL;AL30;006126;;;
G339;CN;PAROLDO;;A4GW;CN;CN;CN20;004160;;;
G340;AV;PAROLISE;;Q2CZ;AV;AV;AV00;064069;;;
G342;PV;PARONA;;C7GP;PV;PV;PV10;018109;;;
G344;TR;PARRANO;;L2BD;TR;TR;TR00;055025;;;
G346;BG;PARRE;;C2IP;BG;BG;BG00;016158;;;
G347;TP;PARTANNA;;U9AR;TP;TP;TP00;081015;;;
G348;PA;PARTINICO;;U1CD;PA;PA;PA00;082054;;;
G349;NO;PARUZZARO;;A5IC;NO;NO;VB00;003114;;;
G350;BG;PARZANICA;;C2IQ;BG;BG;BG00;016159;;;
G352;UD;PASIAN DI PRATO;;F6DT;UD;UD;UD00;030072;;;
G353;PN;PASIANO DI PORDENONE;;F5BE;PN;PN;PN00;093029;;;
G354;BS;PASPARDO;;C3IF;BS;BS;BS10;017135;;;
G358;AT;PASSERANO MARMORITO;;A3DI;AT;AT;AT00;005082;;;
G359;PG;PASSIGNANO SUL TRASIMENO;;L1CK;PG;PG;PG00;054038;;;
G361;BS;PASSIRANO;;C3IG;BS;BS;BS00;017136;;;
G362;FR;PASTENA;;M2BW;FR;FR;FR00;060047;;;
G364;CE;PASTORANO;;Q4CU;CE;CE;CE00;061055;;;
G365;VR;PASTRENGO;;D6CW;VR;VR;VR00;023057;;;
G367;AL;PASTURANA;;A2GY;AL;AL;AL30;006127;;;
G368;LC;PASTURO;;C4MQ;LC;LC;LC00;097065;;;
G370;AV;PATERNOPOLI;;Q2DA;AV;AV;AV00;064070;;;
G371;CT;PATERNO';;U4BK;CT;CT;CT00;087033;;;
G372;CS;PATERNO CALABRO;;T3EA;CS;CS;CS00;078094;;;
G374;FR;PATRICA;;M2BX;FR;FR;FR00;060048;;;
G376;SS;PATTADA;;V3CI;SS;SS;SS00;090055;;;
G377;ME;PATTI;;U6CW;ME;ME;ME00;083066;;;
G378;LE;PATU';;R4CJ;LE;LE;LE00;075060;;;
G379;OR;PAU;;V4BP;OR;OR;OR00;095040;;;
G381;UD;PAULARO;;F6DV;UD;UD;UD00;030073;;;
G382;SU;PAULI ARBAREI;;V1EE;CA;CA;CA00;111053;;;
G383;SU;SAN NICOLO' GERREI;;V1EF;CA;CA;CA00;111064;;;
G384;OR;PAULILATINO;;V4BQ;OR;OR;OR00;095041;;;
G385;MI;PAULLO;;C1MV;MI;MI;LO00;015169;;;
G386;BN;PAUPISI;;Q3CE;BN;BN;BN00;062049;;;
G387;TO;PAVAROLO;;A1IY;TO;TO;TO20;001180;;;
G388;PV;PAVIA;;C7AA;PV;PV;PV00;018110;;;
G389;UD;PAVIA DI UDINE;;F6DW;UD;UD;UD00;030074;;;
G391;BS;PAVONE DEL MELLA;;C3IH;BS;BS;BS00;017137;;;
G392;TO;PAVONE CANAVESE;;A1IZ;TO;TO;TO40;001181;;;
G393;MO;PAVULLO NEL FRIGNANO;;H4BF;MO;MO;MO00;036030;;;
G394;RC;PAZZANO;;T1CS;RC;RC;RC00;080058;;;
G395;PI;PECCIOLI;;I7BF;PI;PI;LI00;050025;;;
G396;TO;PECCO;;A1JA;TO;TO;TO40;001182;;;
G397;AL;PECETTO DI VALENZA;;A2HA;AL;AL;AL00;006128;;;
G398;TO;PECETTO TORINESE;;A1JB;TO;TO;TO20;001183;;;
G402;CT;PEDARA;;U4BL;CT;CT;CT00;087034;;;
G403;FM;PEDASO;;K2CU;AP;AP;AP10;109030;;;
G404;BL;PEDAVENA;;D2BM;BL;BL;BL00;025036;;;
G406;VI;PEDEMONTE;;D7DI;;VI;;024076;;;
G407;BS;SAN PAOLO;;C3II;BS;BS;BS00;017138;;;
G408;TV;PEDEROBBA;;D5CK;TV;TV;TV00;026056;;;
G410;SO;PEDESINA;;C8CA;SO;SO;SO00;014047;;;
G411;CS;PEDIVIGLIANO;;T3EC;CS;CS;CS00;078096;;;
G412;BG;PEDRENGO;;C2IR;BG;BG;BG00;016160;;;
G415;CO;PEGLIO;;C4MR;CO;CO;CO00;013178;;;
G416;PU;PEGLIO;;K4CJ;PS;PS;PS10;041041;;;
G417;MN;PEGOGNAGA;;C6BQ;MN;MN;MN00;020039;;;
G418;BG;PEIA;;C2IS;BG;BG;BG00;016161;;;
G419;TN;PEIO;;E1JZ;;;;022136;;;
G420;FI;PELAGO;;I1BL;FI;FI;FI00;048032;;;
G421;NO;PELLA;;A5ID;NO;NO;NO00;003115;;;
G424;PR;PELLEGRINO PARMENSE;;H5BH;PR;PR;PR00;034028;;;
G426;SA;PELLEZZANO;;Q5DW;SA;SA;SA00;065090;;;
G428;TN;PELLIZZANO;;E1KA;;;;022137;;;
G429;TN;PELUGO;;E1KB;;;;022138;;;
G430;AT;PENANGO;;A3DJ;AT;AT;AL20;005083;;;
G431;SO;POGGIRIDENTI;;C8CB;SO;SO;SO00;014051;;;
G432;TR;PENNA IN TEVERINA;;L2BE;TR;TR;TR00;055026;;;
G433;RN;PENNABILLI;;K4CK;RN;RN;PS10;099024;;;
