Codice Nazionale;Sigla Provincia;Denominazione Italiana;Denominazione Estera;Codice Catastale;Ufficio Catasto Terreni;Ufficio Catasto Fabbricati;Codice Conservatoria;Codice Istat;Data Costituzione;Attesa VCT Territorio;Attesa VCT Fabbricati
D951;VA;GAZZADA SCHIANNO;;C9EG;VA;VA;VA00;012073;;;
D952;BG;GAZZANIGA;;C2GA;BG;BG;BG00;016111;;;
D956;PD;GAZZO;;D3BR;PD;PD;PD00;028041;;;
D957;VR;GAZZO VERONESE;;D6BW;VR;VR;VR00;023037;;;
D958;PC;GAZZOLA;;H6AY;PC;PC;PC00;033022;;;
D959;MN;GAZZUOLO;;C6BC;MN;MN;MN00;020025;;;
D960;CL;GELA;;U3AG;CL;CL;CL00;085007;;;
D961;RN;GEMMANO;;H3AS;RN;RN;RN00;099004;;;
D962;UD;GEMONA DEL FRIULI;;F6CG;UD;UD;UD00;030043;;;
D963;VA;GEMONIO;;C9EH;VA;VA;VA00;012074;;;
D964;RM;GENAZZANO;;M1CC;RM;RM;RM20;058042;;;
D965;AN;GENGA;;K1AU;AN;AN;AN00;042020;;;
D966;CR;GENIVOLTA;;C5EJ;CR;CR;CR00;019047;;;
D967;CN;GENOLA;;A4EC;CN;CN;CN30;004096;;;
D968;SU;GENONI;;V2BF;NU;NU;NU00;111023;;;
D969;GE;GENOVA;;G1AA;GE;GE;GE00;010025;;;
D970;SU;GENURI;;V1CE;CA;CA;OR00;111024;;;
